Edad,Rotacion,Departamento,Puesto,Nivel_Educativo,Ingreso_Mensual,Disponibilidad_Horaria,Movilidad_Propia,Distancia_KM,Cantidad_Hijos,Satisfaccion_Puesto,Equilibrio_VidaTrabajo,Horas_Extra,Capacitaciones_Ultimo_Anio,Anios_Empresa,Num_Empresas_Previas
48,Yes,Mantenimiento,Técnico/a de Mantenimiento,2,933929,Completa,Sí,2.2,2,Bajo,Bajo,No,2,10,1
29,Yes,Contaduría,Responsable Impositivo,1,1221401,Media jornada,No,3.8,1,Bueno,Bueno,Sí,1,3,1
53,Yes,Docencia,Profesor/a Titular,4,1314802,Completa,No,9.8,0,Muy bajo,Muy bajo,Sí,2,15,4
55,Yes,Docencia,Profesor/a Titular,4,2033630,Completa,No,6.2,0,Bajo,Bajo,No,1,5,0
31,No,Marketing,Community Manager,3,1265269,Media jornada,Sí,17.6,1,Bueno,Bueno,No,2,0,0
54,Yes,Tecnología,Administrador/a de Sistemas,3,2454476,Media jornada,No,8.0,1,Bueno,Muy bajo,No,4,15,1
31,Yes,Tecnología,Soporte IT,4,2153277,Media jornada,No,5.8,0,Muy bajo,Bajo,No,3,1,0
30,No,Investigación y desarrollo,Becario/a de Investigación,4,1521179,Completa,No,10.2,1,Bajo,Muy bajo,No,1,3,1
55,No,Docencia,Profesor/a Titular,2,2141557,Completa,No,11.1,3,Bajo,Muy bajo,No,0,2,0
28,Yes,Docencia,Coordinador/a de Cátedra,4,1750113,Media jornada,Sí,16.4,0,Bueno,Bueno,No,1,3,1
27,No,Investigación y desarrollo,Técnico/a de Laboratorio,5,1928981,Completa,No,9.3,0,Bueno,Muy bajo,No,0,0,0
25,No,RRHH,Analista de RRHH,3,1361563,Completa,No,6.7,0,Excelente,Excelente,No,1,1,0
20,No,Contaduría,Administrativo/a de Contaduría,2,969693,Flexible,Sí,8.5,0,Bajo,Bueno,No,3,0,0
41,No,Contaduría,Tesorero/a,4,1986809,Completa,No,3.1,0,Bueno,Bajo,Sí,0,10,1
57,Yes,Ventas,Asesor/a de Vinculación,2,872433,Media jornada,No,15.8,0,Muy bajo,Bajo,Sí,1,2,0
58,No,Investigación y desarrollo,Becario/a de Investigación,4,1754186,Completa,No,3.5,2,Bajo,Bajo,Sí,2,6,1
57,No,RRHH,Especialista en Selección,4,1418281,Completa,Sí,6.0,2,Excelente,Bueno,No,2,3,1
39,Yes,Marketing,Diseñador/a Gráfico/a,4,980931,Completa,No,9.8,0,Bajo,Bueno,No,0,8,1
41,Yes,Contaduría,Responsable Impositivo,3,1484816,Completa,No,6.0,0,Bueno,Muy bajo,No,1,6,0
47,No,Tecnología,Desarrollador/a,4,2858837,Completa,No,3.2,0,Bajo,Excelente,No,0,7,2
32,No,Mantenimiento,Encargado/a de Servicios Generales,1,980478,Completa,Sí,0.7,1,Bueno,Bajo,No,0,1,0
44,Yes,Ventas,Ejecutivo/a de Vinculación y Empresas,4,1253772,Completa,No,7.2,2,Muy bajo,Bajo,Sí,1,6,0
23,No,Docencia,Auxiliar Docente,3,1085833,Completa,No,11.4,0,Bueno,Bajo,No,2,0,0
49,Yes,Ventas,Asesor/a de Vinculación,2,1072346,Completa,Sí,21.9,1,Bueno,Muy bajo,No,2,5,1
43,No,RRHH,Especialista en Selección,2,833392,Completa,No,7.1,2,Muy bajo,Bueno,No,1,9,2
49,No,Investigación y desarrollo,Investigador/a Asistente,4,2598127,Completa,No,3.4,1,Muy bajo,Bueno,Sí,1,2,0
38,Yes,Contaduría,Administrativo/a de Contaduría,2,1219422,Flexible,No,4.7,1,Muy bajo,Bueno,No,2,6,1
35,No,Dirección de Carreras,Director/a de Carrera,2,3000000,Media jornada,No,7.9,1,Bajo,Bajo,No,0,6,1
20,No,RRHH,Analista de RRHH,1,1023625,Media jornada,Sí,12.1,1,Bueno,Bueno,No,0,0,0
43,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,4,2045318,Completa,No,11.7,0,Bueno,Bajo,Sí,1,8,2
31,No,Tecnología,Desarrollador/a,3,2758904,Flexible,Sí,3.9,0,Bueno,Bueno,No,2,1,0
57,No,Investigación y desarrollo,Investigador/a Asistente,4,1127876,Media jornada,No,5.8,0,Bueno,Bueno,No,2,11,2
46,No,Docencia,Auxiliar Docente,3,1539116,Media jornada,No,14.7,2,Bueno,Excelente,No,2,2,0
24,No,Docencia,Profesor/a Adjunto/a,4,2251092,Completa,No,10.3,0,Bajo,Bueno,Sí,0,0,0
21,Yes,Docencia,Auxiliar Docente,5,1814032,Flexible,No,8.9,0,Muy bajo,Bajo,No,1,0,0
53,No,Docencia,Coordinador/a de Cátedra,4,2353930,Flexible,No,7.5,4,Bajo,Excelente,No,0,14,2
36,Yes,Docencia,Coordinador/a de Cátedra,3,1952641,Flexible,No,14.5,2,Bajo,Bueno,Sí,1,1,0
29,No,Tecnología,Soporte IT,4,1135149,Completa,Sí,6.7,2,Muy bajo,Bueno,No,2,0,0
38,Yes,Docencia,Profesor/a Titular,3,1707977,Completa,No,5.7,0,Excelente,Muy bajo,Sí,1,5,1
23,Yes,Investigación y desarrollo,Docente-Investigador/a,3,2141519,Completa,No,16.2,1,Muy bajo,Bajo,No,2,0,0
37,No,Ventas,Asesor/a de Vinculación,2,1315491,Completa,Sí,0.9,0,Bueno,Bueno,No,2,5,1
40,No,Contaduría,Responsable Impositivo,3,1902557,Flexible,No,2.5,0,Bueno,Bueno,No,1,2,0
37,No,Tecnología,Soporte IT,3,1352320,Completa,No,5.0,0,Bajo,Bueno,No,2,1,0
34,Yes,Docencia,Profesor/a Titular,2,1907207,Completa,No,16.9,0,Muy bajo,Bajo,No,0,4,1
42,No,Docencia,Jefe/a de Trabajos Prácticos,3,1187711,Completa,No,9.9,0,Bueno,Bueno,Sí,2,9,1
59,No,Docencia,Auxiliar Docente,5,847967,Completa,Sí,3.6,1,Bueno,Bueno,No,1,13,1
22,Yes,Docencia,Profesor/a Adjunto/a,4,1838657,Completa,No,3.3,0,Bajo,Muy bajo,Sí,2,0,0
33,No,Investigación y desarrollo,Docente-Investigador/a,4,3000000,Flexible,Sí,17.2,0,Muy bajo,Bueno,No,1,2,0
43,Yes,Docencia,Coordinador/a de Cátedra,4,2363517,Media jornada,No,3.3,0,Bueno,Excelente,Sí,0,10,2
53,Yes,Docencia,Profesor/a Titular,4,2326397,Completa,Sí,5.5,0,Muy bajo,Bajo,Sí,1,7,0
32,No,Docencia,Jefe/a de Trabajos Prácticos,4,1277869,Completa,No,6.5,2,Bueno,Bueno,No,2,5,1
37,Yes,Contaduría,Tesorero/a,2,1000747,Completa,No,7.7,0,Bueno,Bueno,Sí,0,4,1
56,No,Investigación y desarrollo,Docente-Investigador/a,5,2871515,Completa,No,6.1,1,Bajo,Muy bajo,No,2,6,1
54,Yes,Investigación y desarrollo,Becario/a de Investigación,4,2133141,Media jornada,No,2.9,0,Bajo,Muy bajo,No,2,5,1
25,Yes,RRHH,Especialista en Capacitación,3,1054721,Media jornada,No,8.2,1,Bajo,Muy bajo,No,0,1,0
48,No,Tecnología,Administrador/a de Sistemas,2,1538099,Flexible,No,13.1,0,Bajo,Bueno,No,5,2,0
37,Yes,Docencia,Coordinador/a de Cátedra,3,1032920,Media jornada,Sí,23.5,0,Bueno,Bueno,Sí,1,7,1
43,Yes,Marketing,Diseñador/a Gráfico/a,2,1028785,Completa,No,10.5,0,Bajo,Muy bajo,No,2,3,1
34,Yes,Tecnología,Soporte IT,3,2374086,Flexible,No,3.2,1,Muy bajo,Excelente,Sí,2,2,0
58,No,Docencia,Profesor/a Adjunto/a,2,1490126,Flexible,Sí,22.7,0,Bajo,Muy bajo,No,1,5,1
26,No,Mantenimiento,Encargado/a de Servicios Generales,3,738140,Flexible,No,4.1,1,Excelente,Bajo,No,1,0,0
36,Yes,Ventas,Representante Institucional,2,1286920,Completa,Sí,15.3,0,Bueno,Muy bajo,No,1,5,1
46,No,Docencia,Profesor/a Titular,4,1615673,Flexible,No,22.2,3,Bajo,Bajo,No,0,8,2
34,Yes,Investigación y desarrollo,Investigador/a Principal,5,2695161,Flexible,No,9.4,0,Bueno,Bueno,Sí,2,5,1
37,No,Marketing,Especialista en Comunicación,3,1515762,Media jornada,No,8.6,1,Bueno,Muy bajo,Sí,1,1,0
35,No,Marketing,Analista de Marketing,3,1129572,Completa,No,10.6,0,Bajo,Excelente,Sí,1,7,1
31,No,Docencia,Auxiliar Docente,4,1708762,Media jornada,No,11.9,0,Bueno,Bueno,Sí,1,2,0
25,Yes,Investigación y desarrollo,Becario/a de Investigación,4,1599209,Flexible,No,17.0,0,Bajo,Bajo,No,2,2,0
45,Yes,Contaduría,Analista Contable,3,1385356,Media jornada,No,4.8,1,Bajo,Bueno,Sí,0,2,0
28,Yes,Contaduría,Tesorero/a,2,1633392,Completa,No,5.6,2,Excelente,Bueno,No,0,3,0
52,No,Tecnología,Administrador/a de Sistemas,3,1810615,Flexible,No,5.9,1,Bueno,Bajo,No,0,9,1
54,Yes,Investigación y desarrollo,Becario/a de Investigación,5,923222,Completa,No,5.9,2,Muy bajo,Excelente,Sí,0,7,0
43,Yes,Contaduría,Responsable Impositivo,2,1082983,Completa,No,2.9,0,Bajo,Excelente,No,0,1,0
24,No,Marketing,Analista de Marketing,2,1026996,Completa,Sí,6.2,1,Bueno,Bueno,No,1,1,0
42,Yes,Docencia,Profesor/a Titular,4,2310669,Flexible,No,4.1,0,Excelente,Bueno,Sí,0,1,0
36,Yes,Investigación y desarrollo,Becario/a de Investigación,5,1841431,Completa,No,15.8,0,Bueno,Muy bajo,No,0,4,0
41,Yes,Tecnología,Analista Funcional,4,2609081,Completa,Sí,13.6,1,Bueno,Bueno,Sí,2,6,1
24,Yes,Ventas,Representante Institucional,3,1569802,Media jornada,No,8.2,0,Muy bajo,Bueno,Sí,2,1,0
47,Yes,RRHH,Generalista de RRHH,3,1475435,Media jornada,No,6.4,2,Bueno,Excelente,No,1,13,2
43,No,RRHH,Analista de RRHH,4,1173581,Completa,No,2.9,1,Bajo,Bueno,No,2,3,0
35,No,Docencia,Profesor/a Titular,2,1865787,Flexible,No,8.6,1,Bajo,Bueno,No,2,2,0
42,Yes,Contaduría,Responsable Impositivo,2,1091665,Flexible,No,11.3,0,Bajo,Bueno,Sí,0,4,0
29,Yes,RRHH,Especialista en Capacitación,3,1366692,Completa,No,11.1,0,Bajo,Muy bajo,No,3,3,1
44,Yes,Investigación y desarrollo,Becario/a de Investigación,5,1788309,Completa,No,23.8,0,Muy bajo,Muy bajo,No,3,11,2
52,No,Investigación y desarrollo,Becario/a de Investigación,5,1824521,Completa,Sí,15.7,1,Bajo,Bueno,Sí,4,15,2
46,Yes,Contaduría,Administrativo/a de Contaduría,2,937584,Completa,No,6.8,1,Muy bajo,Muy bajo,No,0,12,2
21,Yes,Docencia,Jefe/a de Trabajos Prácticos,2,1716140,Completa,No,15.2,0,Bajo,Bueno,No,2,0,0
29,Yes,Investigación y desarrollo,Docente-Investigador/a,4,1480721,Flexible,No,3.4,1,Muy bajo,Muy bajo,Sí,4,4,1
56,No,Investigación y desarrollo,Técnico/a de Laboratorio,4,2184070,Flexible,Sí,14.4,0,Bajo,Bajo,No,1,7,1
32,No,Investigación y desarrollo,Técnico/a de Laboratorio,4,2372157,Completa,Sí,16.1,1,Muy bajo,Bajo,No,1,5,0
44,No,Docencia,Auxiliar Docente,4,1461172,Completa,No,8.5,0,Bueno,Bueno,No,2,9,1
39,Yes,Ventas,Representante Institucional,1,1006278,Completa,No,9.1,1,Muy bajo,Bueno,No,1,2,0
57,No,Tecnología,Desarrollador/a,4,3000000,Completa,No,7.2,0,Bueno,Excelente,No,2,2,0
48,Yes,Tecnología,Desarrollador/a,3,1525402,Completa,No,8.3,2,Muy bajo,Bueno,Sí,5,4,1
26,Yes,Marketing,Diseñador/a Gráfico/a,3,1475478,Flexible,Sí,9.9,0,Bueno,Muy bajo,Sí,2,2,0
38,No,RRHH,Especialista en Selección,1,1263357,Flexible,No,6.6,0,Excelente,Bueno,No,2,6,1
50,No,Docencia,Profesor/a Titular,3,2150117,Completa,No,4.5,1,Bueno,Muy bajo,No,2,4,1
40,No,RRHH,Analista de RRHH,1,941842,Flexible,No,3.3,0,Bajo,Bueno,No,0,7,2
25,Yes,RRHH,Analista de RRHH,4,1473315,Completa,No,8.3,0,Bajo,Bueno,No,1,0,0
27,No,Marketing,Especialista en Comunicación,3,872814,Media jornada,No,11.4,1,Bajo,Bueno,No,1,2,0
19,Yes,Contaduría,Responsable Impositivo,2,1433733,Completa,Sí,3.1,0,Bueno,Muy bajo,No,0,0,0
47,Yes,Docencia,Profesor/a Adjunto/a,3,1115258,Completa,No,8.0,1,Bueno,Bajo,No,1,13,1
26,No,Investigación y desarrollo,Becario/a de Investigación,5,1547186,Flexible,No,26.0,0,Bajo,Muy bajo,No,4,0,0
22,No,Investigación y desarrollo,Investigador/a Principal,4,2227198,Completa,No,1.4,0,Bajo,Bajo,No,0,0,0
53,No,Tecnología,Soporte IT,3,1080249,Flexible,No,0.9,1,Excelente,Bajo,No,1,6,1
21,Yes,RRHH,Especialista en Selección,3,737229,Completa,No,1.0,0,Muy bajo,Muy bajo,No,1,0,0
58,Yes,Investigación y desarrollo,Docente-Investigador/a,5,1856017,Completa,No,32.6,2,Muy bajo,Bajo,No,2,9,2
25,Yes,Dirección de Carreras,Secretario/a Académico/a,1,2884750,Completa,No,3.8,0,Muy bajo,Bueno,No,0,1,0
45,Yes,Tecnología,Analista Funcional,3,1380547,Completa,No,6.9,0,Bajo,Bueno,Sí,1,12,1
19,Yes,Investigación y desarrollo,Docente-Investigador/a,5,2675779,Media jornada,No,12.8,0,Bajo,Bueno,No,5,0,0
45,No,Docencia,Auxiliar Docente,3,1739117,Completa,Sí,12.3,1,Bueno,Bajo,No,0,11,2
34,Yes,Docencia,Coordinador/a de Cátedra,3,2372303,Media jornada,No,7.3,1,Bueno,Bueno,No,1,2,0
56,Yes,Investigación y desarrollo,Becario/a de Investigación,4,1004191,Media jornada,No,21.3,0,Bajo,Bajo,No,1,8,2
25,No,Docencia,Profesor/a Titular,5,1628899,Media jornada,Sí,14.8,2,Excelente,Bueno,Sí,0,1,0
41,No,Docencia,Jefe/a de Trabajos Prácticos,4,1471068,Completa,Sí,5.4,0,Excelente,Muy bajo,No,1,4,1
59,No,Investigación y desarrollo,Investigador/a Asistente,5,1087160,Flexible,Sí,3.9,1,Bueno,Excelente,No,1,19,2
29,Yes,Docencia,Profesor/a Adjunto/a,4,1260642,Completa,No,9.8,0,Bajo,Excelente,No,2,3,0
51,Yes,Ventas,Asesor/a de Vinculación,1,776074,Completa,No,15.3,2,Muy bajo,Excelente,No,1,8,0
54,No,Docencia,Profesor/a Adjunto/a,5,1875516,Completa,Sí,26.3,2,Bajo,Muy bajo,No,3,13,3
55,Yes,RRHH,Especialista en Selección,2,1006602,Completa,Sí,6.8,0,Bueno,Muy bajo,Sí,0,9,1
59,Yes,Contaduría,Responsable Impositivo,2,1141691,Completa,No,4.2,3,Muy bajo,Muy bajo,No,0,2,0
35,No,Dirección de Carreras,Director/a de Carrera,3,3000000,Media jornada,Sí,20.0,0,Bueno,Bueno,Sí,0,4,0
53,Yes,Docencia,Profesor/a Titular,3,2322647,Completa,Sí,18.3,1,Muy bajo,Bajo,No,0,10,1
23,Yes,Contaduría,Tesorero/a,1,1313713,Completa,No,9.0,0,Muy bajo,Bueno,Sí,0,1,0
50,Yes,Dirección de Carreras,Secretario/a Académico/a,1,2125519,Media jornada,No,3.3,2,Muy bajo,Muy bajo,Sí,2,2,0
21,Yes,Mantenimiento,Supervisor/a de Mantenimiento,2,979698,Completa,No,4.4,1,Muy bajo,Bueno,No,5,0,0
53,No,Mantenimiento,Técnico/a de Mantenimiento,3,846448,Completa,No,4.8,2,Excelente,Bueno,No,2,3,0
32,Yes,Investigación y desarrollo,Investigador/a Principal,4,2541088,Completa,Sí,14.7,2,Muy bajo,Bueno,No,0,1,0
49,No,Docencia,Auxiliar Docente,5,1446047,Media jornada,No,1.8,0,Bueno,Muy bajo,No,2,9,2
49,Yes,Tecnología,Soporte IT,3,2602310,Completa,Sí,6.6,0,Muy bajo,Muy bajo,No,0,4,1
35,Yes,Ventas,Asesor/a de Vinculación,2,2215934,Completa,Sí,8.9,1,Bueno,Bueno,No,1,5,1
42,No,RRHH,Analista de RRHH,2,737144,Completa,No,4.7,1,Bueno,Bajo,No,1,6,0
41,Yes,RRHH,Especialista en Selección,2,1313230,Media jornada,No,14.9,1,Bajo,Excelente,No,1,3,1
36,No,Investigación y desarrollo,Becario/a de Investigación,4,1338440,Media jornada,Sí,17.1,0,Muy bajo,Excelente,No,0,4,0
32,Yes,Marketing,Analista de Marketing,3,1299491,Media jornada,Sí,17.1,1,Bueno,Muy bajo,No,0,0,0
33,No,Docencia,Profesor/a Titular,5,2801638,Completa,No,6.2,2,Bueno,Excelente,No,0,5,1
33,Yes,Investigación y desarrollo,Investigador/a Principal,5,1970083,Completa,No,10.0,0,Bajo,Bueno,Sí,1,0,0
24,Yes,Contaduría,Tesorero/a,2,1571968,Completa,No,2.9,0,Bajo,Bueno,No,1,0,0
45,Yes,RRHH,Analista de RRHH,4,1092079,Completa,No,2.9,0,Bueno,Excelente,Sí,1,8,1
33,Yes,Investigación y desarrollo,Docente-Investigador/a,4,1180436,Completa,Sí,17.2,0,Bajo,Bueno,No,5,6,1
54,Yes,Docencia,Auxiliar Docente,3,1497911,Completa,No,15.4,1,Muy bajo,Muy bajo,No,3,14,3
26,Yes,Tecnología,Analista Funcional,4,2128750,Completa,Sí,4.2,2,Bajo,Muy bajo,No,3,0,0
33,Yes,Investigación y desarrollo,Investigador/a Principal,4,3000000,Media jornada,No,9.6,0,Muy bajo,Bajo,Sí,2,1,0
21,Yes,RRHH,Especialista en Selección,2,1111323,Completa,Sí,1.7,0,Excelente,Bueno,No,2,0,0
31,No,Docencia,Profesor/a Adjunto/a,4,1556897,Media jornada,Sí,12.7,1,Bajo,Excelente,No,0,4,1
59,Yes,Contaduría,Administrativo/a de Contaduría,2,1565219,Completa,No,2.7,0,Muy bajo,Bueno,No,2,8,0
52,No,RRHH,Especialista en Selección,3,1360028,Completa,No,5.9,1,Bueno,Muy bajo,No,1,7,1
42,Yes,Docencia,Jefe/a de Trabajos Prácticos,4,1759374,Completa,Sí,25.8,1,Bueno,Muy bajo,No,0,2,0
58,No,Investigación y desarrollo,Investigador/a Principal,5,3000000,Completa,No,3.7,2,Muy bajo,Muy bajo,No,2,4,0
50,No,Docencia,Profesor/a Adjunto/a,2,2129614,Completa,No,11.3,1,Excelente,Bueno,No,0,9,1
50,No,Docencia,Coordinador/a de Cátedra,3,1259826,Completa,No,8.6,2,Bueno,Bueno,No,1,2,0
48,Yes,Dirección de Carreras,Secretario/a Académico/a,2,3000000,Flexible,No,3.5,0,Bajo,Bueno,No,0,3,1
31,No,Investigación y desarrollo,Investigador/a Principal,4,3000000,Flexible,No,5.1,0,Bajo,Muy bajo,No,3,1,0
19,Yes,Marketing,Analista de Marketing,2,1280994,Completa,No,11.9,0,Bueno,Muy bajo,No,1,0,0
52,No,Investigación y desarrollo,Investigador/a Asistente,5,2445784,Flexible,No,7.6,1,Muy bajo,Excelente,No,5,2,0
33,No,Tecnología,Desarrollador/a,4,1363778,Flexible,No,21.7,0,Bueno,Bajo,Sí,3,3,0
32,Yes,Marketing,Analista de Marketing,4,911403,Media jornada,Sí,12.3,0,Bajo,Bajo,No,1,5,1
47,No,Tecnología,Analista Funcional,4,2955666,Flexible,Sí,3.9,1,Bueno,Bueno,No,2,1,0
52,No,Contaduría,Analista Contable,4,993744,Completa,No,9.7,1,Bueno,Excelente,No,3,10,2
36,Yes,Contaduría,Analista Contable,3,1292058,Completa,No,10.4,0,Excelente,Bajo,No,2,6,1
25,No,Investigación y desarrollo,Técnico/a de Laboratorio,5,2004038,Completa,No,10.7,0,Excelente,Bueno,No,1,0,0
47,Yes,Ventas,Ejecutivo/a de Vinculación y Empresas,2,1049154,Completa,Sí,13.0,1,Bueno,Muy bajo,No,2,2,0
49,No,Mantenimiento,Encargado/a de Servicios Generales,2,901153,Completa,No,6.6,0,Bueno,Bueno,Sí,1,2,0
43,Yes,Dirección de Carreras,Director/a de Carrera,2,2770130,Media jornada,No,19.6,0,Bueno,Bueno,No,0,7,1
56,Yes,Docencia,Profesor/a Titular,4,2540298,Flexible,No,18.1,2,Muy bajo,Muy bajo,Sí,2,10,1
32,Yes,Marketing,Diseñador/a Gráfico/a,2,1450272,Flexible,No,2.5,0,Bajo,Bajo,No,1,1,0
26,Yes,Ventas,Asesor/a de Vinculación,4,2218346,Flexible,No,2.3,0,Bueno,Bajo,No,2,2,0
45,No,Docencia,Coordinador/a de Cátedra,3,1113973,Flexible,No,7.7,0,Bueno,Bajo,No,0,9,2
20,Yes,Docencia,Profesor/a Titular,2,2016206,Flexible,Sí,15.1,0,Muy bajo,Muy bajo,Sí,0,0,0
35,No,Marketing,Analista de Marketing,3,1329002,Completa,Sí,19.1,3,Bueno,Muy bajo,No,2,5,1
55,Yes,RRHH,Especialista en Selección,1,941724,Completa,No,4.3,1,Muy bajo,Excelente,No,3,5,0
32,No,Mantenimiento,Supervisor/a de Mantenimiento,1,1036972,Completa,No,4.7,0,Excelente,Bueno,Sí,2,4,1
43,Yes,Docencia,Auxiliar Docente,3,1238759,Flexible,No,7.1,1,Muy bajo,Muy bajo,Sí,3,2,0
48,Yes,Marketing,Diseñador/a Gráfico/a,2,1372440,Completa,Sí,8.3,0,Excelente,Excelente,No,1,10,1
47,No,Investigación y desarrollo,Técnico/a de Laboratorio,4,1602711,Flexible,Sí,9.9,0,Bueno,Muy bajo,Sí,2,4,0
38,Yes,Docencia,Profesor/a Adjunto/a,4,1527008,Completa,No,6.3,2,Muy bajo,Muy bajo,No,3,5,0
39,Yes,Docencia,Profesor/a Titular,4,1599850,Completa,No,7.1,2,Bueno,Muy bajo,No,2,2,0
40,Yes,Mantenimiento,Encargado/a de Servicios Generales,2,983883,Media jornada,No,7.1,0,Excelente,Muy bajo,No,0,7,1
53,No,Tecnología,Desarrollador/a,3,2909553,Completa,No,3.1,1,Bueno,Muy bajo,Sí,2,2,0
55,Yes,RRHH,Especialista en Capacitación,2,1311178,Completa,Sí,16.7,2,Bajo,Muy bajo,No,1,4,0
34,Yes,Investigación y desarrollo,Docente-Investigador/a,5,1409074,Completa,Sí,14.9,0,Bueno,Bueno,No,5,1,0
35,Yes,Mantenimiento,Supervisor/a de Mantenimiento,1,869460,Completa,No,12.8,0,Muy bajo,Excelente,No,1,1,0
34,No,Contaduría,Responsable Impositivo,1,1626950,Media jornada,No,2.8,0,Bueno,Excelente,No,2,5,1
20,No,Mantenimiento,Técnico/a de Mantenimiento,3,706157,Completa,Sí,3.6,0,Excelente,Excelente,No,1,0,0
22,Yes,Contaduría,Responsable Impositivo,2,1075928,Completa,No,0.9,0,Muy bajo,Muy bajo,Sí,2,0,0
39,Yes,Contaduría,Responsable Impositivo,1,1880908,Completa,No,5.7,1,Excelente,Bueno,No,0,8,2
57,No,Contaduría,Analista Contable,2,1222255,Media jornada,No,5.8,2,Bajo,Bueno,No,1,1,0
52,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,5,1154028,Completa,No,10.8,1,Muy bajo,Bueno,Sí,1,3,0
48,No,Marketing,Diseñador/a Gráfico/a,4,847194,Media jornada,Sí,2.1,0,Bueno,Bueno,Sí,1,8,1
24,Yes,RRHH,Especialista en Selección,3,1213338,Media jornada,No,5.4,0,Muy bajo,Bajo,Sí,0,1,0
35,No,Investigación y desarrollo,Becario/a de Investigación,4,1786149,Completa,No,11.2,1,Bajo,Bueno,No,0,5,1
57,Yes,Ventas,Asesor/a de Vinculación,3,1893230,Flexible,Sí,12.4,0,Muy bajo,Bajo,Sí,1,8,1
43,Yes,Contaduría,Responsable Impositivo,4,1728680,Media jornada,No,3.7,0,Bajo,Bajo,Sí,0,2,0
23,No,RRHH,Analista de RRHH,4,1200272,Completa,Sí,18.3,0,Bueno,Bajo,No,2,0,0
23,No,Ventas,Ejecutivo/a de Vinculación y Empresas,2,2399487,Completa,No,7.5,0,Bajo,Bueno,No,2,0,0
38,No,Tecnología,Analista Funcional,4,2375022,Flexible,Sí,9.8,2,Bueno,Muy bajo,Sí,3,6,0
34,Yes,Docencia,Jefe/a de Trabajos Prácticos,3,1436324,Media jornada,No,6.9,0,Bueno,Muy bajo,No,2,0,0
59,No,Ventas,Ejecutivo/a de Vinculación y Empresas,2,2819345,Completa,No,5.8,0,Bajo,Excelente,No,0,16,3
55,No,Tecnología,Analista Funcional,4,2707877,Completa,Sí,13.8,2,Excelente,Bueno,No,1,16,2
58,Yes,Investigación y desarrollo,Becario/a de Investigación,4,952671,Flexible,No,2.2,1,Bueno,Excelente,No,3,17,4
27,Yes,Docencia,Jefe/a de Trabajos Prácticos,5,1934487,Media jornada,No,14.4,0,Excelente,Bueno,No,1,3,1
23,Yes,Marketing,Diseñador/a Gráfico/a,1,940165,Media jornada,No,9.7,0,Bueno,Bajo,No,1,0,0
20,Yes,Tecnología,Administrador/a de Sistemas,3,3000000,Completa,Sí,7.8,0,Muy bajo,Bajo,Sí,4,0,0
27,No,RRHH,Especialista en Capacitación,4,1605450,Media jornada,No,2.2,0,Bueno,Excelente,No,1,1,0
54,No,Ventas,Ejecutivo/a de Vinculación y Empresas,4,1909606,Completa,No,9.1,0,Excelente,Muy bajo,No,2,15,3
40,Yes,Marketing,Diseñador/a Gráfico/a,2,844152,Completa,No,13.7,0,Bueno,Muy bajo,No,3,2,0
40,No,Docencia,Jefe/a de Trabajos Prácticos,3,1888010,Media jornada,No,10.0,0,Bajo,Excelente,No,2,5,1
40,No,Investigación y desarrollo,Docente-Investigador/a,4,1368712,Flexible,Sí,8.4,1,Bueno,Bueno,No,4,1,0
52,Yes,Investigación y desarrollo,Técnico/a de Laboratorio,3,2641642,Completa,No,7.4,2,Muy bajo,Bajo,Sí,1,2,0
47,Yes,Marketing,Diseñador/a Gráfico/a,4,1000491,Completa,No,6.3,2,Bueno,Muy bajo,Sí,1,12,2
56,Yes,Docencia,Jefe/a de Trabajos Prácticos,5,1776422,Media jornada,Sí,3.5,1,Bajo,Muy bajo,Sí,0,14,2
51,Yes,RRHH,Especialista en Selección,2,939924,Completa,No,8.3,3,Bueno,Excelente,No,1,8,1
36,No,Marketing,Community Manager,1,857995,Media jornada,No,10.4,0,Bueno,Excelente,Sí,0,4,0
25,No,Mantenimiento,Técnico/a de Mantenimiento,1,700000,Media jornada,No,8.7,0,Excelente,Excelente,No,1,1,0
19,No,Investigación y desarrollo,Técnico/a de Laboratorio,5,2733676,Completa,Sí,6.3,0,Bueno,Bajo,Sí,1,0,0
51,Yes,Mantenimiento,Encargado/a de Servicios Generales,2,801785,Flexible,No,4.9,1,Bajo,Excelente,No,0,12,3
19,Yes,Docencia,Auxiliar Docente,4,1661706,Media jornada,No,3.4,0,Muy bajo,Muy bajo,Sí,0,0,0
42,Yes,Mantenimiento,Encargado/a de Servicios Generales,2,820459,Flexible,No,1.6,0,Excelente,Muy bajo,No,1,7,1
22,No,Docencia,Profesor/a Adjunto/a,4,1669628,Media jornada,No,9.5,0,Excelente,Bueno,No,0,0,0
22,Yes,Contaduría,Administrativo/a de Contaduría,1,1288382,Flexible,No,1.0,0,Bajo,Bueno,No,1,0,0
36,No,Marketing,Community Manager,2,1369264,Completa,Sí,11.2,2,Excelente,Bajo,No,0,3,1
45,No,Docencia,Jefe/a de Trabajos Prácticos,5,1154342,Completa,No,5.6,1,Bueno,Excelente,No,0,11,1
50,Yes,Investigación y desarrollo,Investigador/a Principal,5,2127023,Flexible,No,33.6,0,Muy bajo,Muy bajo,Sí,4,13,1
